JobKey,JobId,JobTitle,JobLevel,JobTag
1206,SoftwareEngineerSoftwareDevEngineerI,Software Engineer,Software Dev Engineer I,API Development (Back-End)
1207,ProductDesignerMid-level,Product Designer,Mid-level,Design
1208,SoftwareEngineerGraduate,Software Engineer,Graduate,Full Stack
1209,SoftwareEngineeringManagerDirectorofengineering,Software Engineering Manager,Director of engineering,Distributed Systems (Back-End)
1210,SoftwareEngineerICES02,Software Engineer,ICES02,Full Stack
1211,HardwareEngineerG28,Hardware Engineer,G 28,IC design
1212,HardwareEngineerP2,Hardware Engineer,P2,Hardware
1213,ProductManager73,Product Manager,73,Product
1214,SoftwareEngineeringManagerT27,Software Engineering Manager,T27,API Development (Back-End)
1215,SoftwareEngineerC11,Software Engineer,C11,API Development (Back-End)
1216,SoftwareEngineerL22,Software Engineer,L22,Data
1217,SoftwareEngineerC,Software Engineer,C,Salesforce
1218,ProductDesignerL8,Product Designer,L8,Mobile (iOS + Android)
1219,SolutionArchitectM2,Solution Architect,M2,ERP
1220,RecruiterL6,Recruiter,L6,Recruiter
1221,ProductManagerIC-4,Product Manager,IC-4,Apps
1222,SoftwareEngineeringManagerSeniorStaffEng,Software Engineering Manager,Senior Staff Eng,Wireless
1223,SoftwareEngineeringManagerPrincipalSDE,Software Engineering Manager,Principal SDE,ML / AI
1224,HardwareEngineerSeniorstaff,Hardware Engineer,Senior staff,Hardware
1225,SoftwareEngineerMasterTechnologist,Software Engineer,Master Technologist,Distributed Systems (Back-End)
1226,ProductManagerDirectorofProduct,Product Manager,Director of Product,Full Stack
1227,SoftwareEngineerL72,Software Engineer,L72,API Development (Back-End)
1228,SoftwareEngineerSoftwareEnginerI,Software Engineer,Software Enginer I,API Development (Back-End)
1229,ProductManagerPartner,Product Manager,Partner,ML / AI
1230,ProductManagerT26,Product Manager,T26,Product
1231,SoftwareEngineerG9,Software Engineer,G9,Full Stack
1232,SoftwareEngineerIC-1,Software Engineer,IC-1,Testing (SDET)
1233,SoftwareEngineerJuniorEngineer,Software Engineer,Junior Engineer,API Development (Back-End)
1234,ProductManagerProductManager1,Product Manager,Product Manager 1,ML / AI
1235,ProductManagerSoftwareDevManager,Product Manager,Software Dev Manager,API Development (Back-End)
